Release Date,Season,Episode,Episode Title,Name,Sentence
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,arya stark,Chasing a cat.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jory cassel,"Pardon, my Lord. There's a Night's Watchman here begging a word. He says it's urgent."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,"Your name, friend?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,yoren,"Yoren, if it please. This must be your son. He has the look."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,arya stark,I'm a girl!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Did Benjen send you?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,yoren,"No one sent me, my Lord. I'm here to find men for The Wall, see if there's any scum in the dungeons that might be fit for service."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,"Ah, we'll find recruits for you."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,yoren,"Thank you, my Lord. But that's not why I disturb you now. Your brother, Benjen... his blood runs black, makes him as much my brother as yours. It's for his sake I rode here so hard I damn near killed my horse! There are others riding too. The whole city will know by tomorrow."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Know what?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,yoren,"Best said in private, my Lord."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Go on. We'll talk more later.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,"Jory, take her safely to her room."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jory cassel,"Come along, my Lady. You heard your father."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,arya stark,How many guards does my father have?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jory cassel,Here in King's Landing? Fifty.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,arya stark,"You wouldn't let anyone kill him, would you?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jory cassel,"No fear on that count, little Lady."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Well?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,yoren,"It's about your wife, my Lord. She's taken the Imp."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,vardis egen,"You're far from home, Lady Stark."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,To whom do I speak?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,vardis egen,"Ser Vardis Egen, Knight of The Vale. Is Lady Arryn expecting your visit?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,There was no time to send word.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,vardis egen,"May I ask, my Lady, why he is with you?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,That's why there was no time. He is my prisoner.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,vardis egen,He doesn't look like a prisoner.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,My sister will decide what he looks like.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,vardis egen,"Yes, my Lady. She will at that."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,The Eyrie. They say it's impregnable.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,bronn,Give me 10 good men and some climbing spikes... I'll impregnate the bitch.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,I like you.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,steward,"Lord Stark, your presence has been requested in the small council chamber. A meeting has been called."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,I need to see the King first -- alone.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,steward,"The King is at the small council meeting, my Lord. He has summoned you."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Is it about my wife?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,steward,"No, my Lord. I believe it concerns Daenerys Targaryen."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,The whore is pregnant.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,You're speaking of murdering a child.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"I warned you this would happen. Back in the North, I warned you, but you didn't care to hear. Well, hear it now. I want 'em dead, mother and child both. And that fool, Viserys as well. Is that plain enough for you? I want them both dead."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,You will dishonor yourself forever if you do this.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"Honor?! I've got Seven Kingdoms to rule! One King, Seven Kingdoms. Do you think honor keeps them in line? Do you think it's honor that's keeping the peace? It's fear! Fear and blood!"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Then we're no better than the Mad King.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"Careful, Ned. Careful now."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,You want to assassinate a girl... Because the Spider heard a rumor?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,"No rumor, my Lord. The princess is with child."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Based on whose information?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,Ser Jorah Mormont. He is serving as adviser to the Targaryens.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Mormont? You bring us the whispers of a traitor half a world away and call it fact?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Jorah Mormont's a slaver, not a traitor. Small difference, I know, to an honorable man."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,"He broke the law, betrayed his family, fled our land. We commit murder on the word of this man?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,And if he's right? If she has a son? A Targaryen at the head of a Dothraki army… What then?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,The Narrow Sea still lies between us. I'll fear the Dothraki the day they teach their horses to run on water.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,Do nothing? That's your wise advice? Do nothing til our enemies are on our shores? You're my council? Counsel! Speak sense to this honorable fool.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,varys,"I understand your misgivings, my Lord. Truly, I do. It is a terrible thing we must consider, a vile thing. Yet, we who presume to rule must sometimes do vile things for the good of the realm. Should the gods grant Daenerys a son, the realm will bleed."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,grand maester pycelle,"I bear this girl no ill will, but should the Dothraki invade, how many innocents will die? How many towns will burn? Is it not wiser, kinder even, that she should die now so that tens of thousands might live?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,We should have had them both killed years ago.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"When you find yourself in bed with an ugly woman, best close your eyes, get it over with. Cut her throat. Be done with it."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,"I followed you into war - twice, without doubts, without second thoughts. But I will not follow you now. The Robert I grew up with didn't tremble at the shadow of an unborn child."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,She dies.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,I will have no part in it.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"You're the King's Hand, Lord Stark. You'll do as I command or I'll find me a Hand who will."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,And good luck to him. I thought you were a better man.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"Out! Out, damn you! I'm done with you. Go! Run back to Winterfell! I'll have your head on a spike! I'll put it there myself, you fool! You think you're too good for this? Too proud and honorable? This is a war!"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,I'll go ahead with my daughters. Get them ready. Do it yourself. Don't ask anyone for help.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jory cassel,"Right away, my Lord. Lord Baelish is here for you."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"His Grace went on about you at some length after you took your leave. The word ""treason"" was mentioned."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,What can I do for you?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,When do you return to Winterfell?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Why? What do you care?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"If you're still here come nightfall, I'll take you to see the last person Jon Arryn spoke with before falling ill. If that sort of thing still interests you."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,I don't have the time.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,It won't take more than an hour. But as you please.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Round up all the men we have and station them outside the girls' chambers. Who are your best two swords?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jory cassel,Heward and Wyl.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Find them and meet me at the stables.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lysa arryn,"You bring him here without permission? You pollute my home with his presence? Your aunt has done a bad thing, Robin, a very bad thing. You remember her, don't you? Isn't he beautiful? And strong too. Jon knew it. His last words were, ""the seed is strong."" He wanted everyone to know what a good, strong boy his son would grow up to be. Look at him, the Lord of all the Vale."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,"Lysa, you wrote me about the Lannisters, warning me t-"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lysa arryn,To stay away from them! Not to bring one here!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robin arryn,Mommy? Is that the bad man?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lysa arryn,It is.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robin arryn,He's little.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lysa arryn,He's Tyrion the Imp of House Lannister. He killed your father. He murdered the Hand of the King!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,Oh? Did I kill him too? I've been a very busy man.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lysa arryn,You will watch your tongue! These men are Knights of the Vale. Every one of the loved Jon Arryn. Every one of them would die for me.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,tyrion lannister,"If any harm comes to me, my brother, Jaime, will see that they do."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robin arryn,"You can't hurt us! No one can hurt us here! Tell him, mommy! Tell him!"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lysa arryn,"Shh... Shh... Shh, my sweet boy. He's just trying to frighten us. Lannisters are all liars. No one will hurt my baby."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robin arryn,Mommy... I want to see the bad man fly.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lysa arryn,"Perhaps you will, my little love."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,catelyn stark,This man is my prisoner. I will not have him harmed.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,lysa arryn,"Ser Vardis, my sister's guest is weary. Take him down below so he can rest. Introduce him to Mord."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,mord,"You go sleep, dwarf man. Sleep good, little dwarf. man!"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,Lord Stark's lucky he still has a head.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,"Robert will rant for a few days, but he won't do anything. He adores the man."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,You're jealous.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,Are you sure this won't hurt?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,Only if I slip.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,And you prefer me like this?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,Mhmm.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,"If you want hairless, maybe you should find a little boy."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,I want you.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,"My brother thinks that anyone who hasn't been to war isn't a man. He treats me as if I'm a spoiled child. Oh, and you're not? Loras Tyrell, the Knight of the Flowers? How many wars have you fought in? Oh, and how much did your father spend on that armor of yours?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,Hold still.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,"All I ever hear from Robert and Stannis is how I'm not tough enough, how I squirm at the sight of blood."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,You did vomit when that boy's eye was knocked out in the mêlée.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,His eye was dangling out of the damn socket!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,He shouldn't have entered the mêlée if he didn't know how to fight.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,Easy for you to say. Not everyone is such a gifted swordsman.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,It's not a gift. No one gave it to me. I'm good because I work at it -- every day of my life since I could hold a stick.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,"I could work at fighting all day, every day, and still never be as good as you."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,"Yes well, I guess we'll never know."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,Everywhere?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,Everywhere. So how did it end up? The Targaryen girl will die?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,"It needs to be done, unpleasant as it is. Robert's rather tasteless about it. Every time he talks about killing her, I swear the table rises six inches."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,It's a shame he can't muster the same enthusiasm for his wife.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,"He does have a deep, abiding lust for her money. You have to give it to the Lannisters, they may be the most pompous, ponderous cunts the gods ever suffered to walk the world, but they do have outrageous amounts of money."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,I have an outrageous amount of money.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,Not as much as the Lannisters.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,But a lot more than you.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,"Robert's threatening to take me hunting with him. Last time we were out there for two weeks, tramping through the trees in the rain, day after day. All so he can stick his spear into something's flesh! Oh. but Robert loves his killing. And he's the King."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,Hmm... How did that ever happen?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,Because he loves his killing and he used to be good at it.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,Do you know who should be King?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,Be serious.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,"I am. My father could be your bank. I've never fought in a war before, but I'd fight for you."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,I'm fourth in line.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,And where was Robert in the line of royal succession? Joffrey is a monster. Tommen is eight.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,Stannis?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,Stannis has the personality of a lobster.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,He's still my older brother.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,What are you doing?!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,Look at it.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,renly baratheon,You cut me!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,"It's just blood. We've all got it in us. Sometimes a little spills. If you become King, you're going to see a lot of this. You need to get used to it. Go on. Look. People love you. They love to serve you because you're kind to them. They want to be near you."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,loras tyrell,"You're willing to do what needs to be done, but you don't gloat over it. You don't love killing. Where is it written that power is the sole province of the worst? That thrones are only made for the hated and the feared. You would be a wonderful King."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,I'm sorry your marriage to Ned Stark didn't work out. You seemed so good together.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,I'm glad I could do something to make you happy.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,"Without a Hand, everything will fall to pieces."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,I suppose this is where you tell me to give the job to your brother Jaime.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,No. He's not serious enough. I'll say this for Ned Stark - he's serious enough. Was it really worth it? Losing him this way?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"I don't know. But I do know this, if the Targaryen girl convinces her horse-lord husband to invade and the Dothraki horde crosses The Narrow Sea... We won't be able to stop them."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,The Dothraki don't sail. Every child knows that. They don't have discipline. They don't have armor. They don't have siege weapons.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"It's a neat little trick you do, you move your lips and your father's voice comes out."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,Is my father wrong?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"Let's say Viserys Targaryen lands with forty thousand Dothraki screamers at his back. We hole up in our castles, a wise move. Only a fool would meet the Dothraki in an open field. They leave us in our castles. They go from town to town, looting and burning, killing every man who can't hide behind a stone wall, stealing all our crops and livestock, enslaving all our women and children. How long do the people of the Seven Kingdoms stand behind their absentee King, their cowardly King hiding behind high walls? When do the people decide that Viserys Targaryen is the rightful monarch after all."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,We still outnumber them.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,Which is the bigger number -- five or one?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,Five.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"Five... one. One army, a real army, united behind one leader with one purpose. Our purpose died with the Mad King. Now we've got as many armies as there are men with gold in their purse. And everybody wants something different. Your father wants to own the world. Ned Stark wants to run away and bury his head in the snow."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,What do you want?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"We haven't had a real fight in nine years. Back-stabbing doesn't prepare you for a fight. And that's all the realm is now, back-stabbing and scheming and arse-licking and money-grubbing. Sometimes I don't know what holds it together."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,Our marriage.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"Ah, so here we sit, seventeen years later, holding it all together. Don't you get tired?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,Every day.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,How long can hate hold a thing together?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,"Well, seventeen years is quite a long time."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"Yes, it is."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,"Yes, it tis. What was she like?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"You've never asked about her, not once. Why not?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,"At first, just saying her name, even in private felt like I was breathing life back into her. I thought if I didn't talk about her, she'd just fade away for you. When I realized that wasn't going to happen, I refused to ask out of spite. I didn't want to give you the satisfaction of thinking I cared enough to ask. And eventually it became clear that my spite didn't mean anything to you, as far as I could tell, you actually enjoyed it."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,So why now?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,What harm could Lyanna Stark's ghost do to either of us that we haven't done to each other a hundred times over?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,"You want to know the horrible truth? I can't even remember what she looked like. I only know she was the one thing I ever wanted... Someone took her away from me, and Seven Kingdoms couldn't fill the hole she left behind."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,"I felt something for you once, you know?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,I know.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,"Even after we lost our first boy -- for quite a while, actually. Was it ever possible for us? Was there ever a time, ever a... moment?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,robert baratheon,No. Does that make you feel better or worse?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,cersei lannister,It doesn't make me feel anything.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,mhaegen,"She looks like him, don't she, my Lord? She has his nose, his black hair."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,mhaegen,"Tell him when you see him, my Lord. If it please you... Tell him how beautiful she is."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,I will.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,mhaegen,"And tell him I've been with no one else. I swear it, my Lord, by the old gods and new. I don't want no jewels or nothing, just him. The King was always good to me."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,"When Jon Arryn came to visit you, what did he want?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,mhaegen,"He wasn't that sort of man, my Lord. He just wanted to know if the child was happy, healthy."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,She looks healthy enough to me. The girl shall want for nothing.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Brothels make a much better investment than ship, I've found. Whores rarely sink."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,What do you know of King Robert's bastards?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Well, he has more than you, for a start."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,How many?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Does it matter? If you fuck enough women, some of them will give you presents."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,And Jon Arryn tracked them all down. Why?
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,He was the King's Hand. Perhaps Robert wanted them looked after. He was overcome with fatherly love.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Come.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,Jory!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jory cassel,My Lord.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jaime lannister,Such a small pack of wolves.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jory cassel,"Stay back, Ser! This is the Hand of the King!"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jaime lannister,Was!... the Hand of the King. Now I'm not sure what he is... Lord of somewhere very far away.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"What's the meaning of this, Lannister?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jaime lannister,"Get back inside where it's safe. I'm looking for my brother. You remember my brother, don't you, Lord Stark? Blond hair, sharp tongue, short man."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,I remember him well.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jaime lannister,"It seems he had some trouble on the road. You wouldn't know what happened to him, would you?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,He was taken at my command to answer for his crimes.
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,My Lords! I'll bring the City Watch!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jaime lannister,"Come, Stark. I'd rather you die sword in hand."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jory cassel,If you threaten my Lord again...
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jaime lannister,"Threaten? As in, ""I'm going to open your Lord from balls to brains and see what Starks are made of”?"
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,eddard stark,"You kill me, your brother's a dead man."
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jaime lannister,You're right. Take him alive! Kill his men!
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,jaime lannister,"My brother, Lord Stark... We want him back."
2011-05-22,Season 1,Episode 6,A Golden Crown,eddard stark,"Your pardon, your Grace."
2011-05-22,Season 1,Episode 6,A Golden Crown,cersei lannister,Do you know what your wife has done?
2011-05-22,Season 1,Episode 6,A Golden Crown,eddard stark,She did nothing I did not command.
2011-05-22,Season 1,Episode 6,A Golden Crown,robert baratheon,Who'd have thought she had it in her?
2011-05-22,Season 1,Episode 6,A Golden Crown,cersei lannister,By what right dare you lay hands on my blood?
2011-05-22,Season 1,Episode 6,A Golden Crown,eddard stark,I am the King's Hand -
2011-05-22,Season 1,Episode 6,A Golden Crown,cersei lannister,You were the King's Hand!
2011-05-22,Season 1,Episode 6,A Golden Crown,eddard stark,trying to keep the peace -
2011-05-22,Season 1,Episode 6,A Golden Crown,cersei lannister,You shall now be held accountable.
2011-05-22,Season 1,Episode 6,A Golden Crown,robert baratheon,"Oh, will both of you shut your mouths? Catelyn will release Tyrion and you'll make your peace with Jaime."
2011-05-22,Season 1,Episode 6,A Golden Crown,eddard stark,He butchered my men.
2011-05-22,Season 1,Episode 6,A Golden Crown,cersei lannister,Lord Stark was returning drunk from a brothel when his men attacked Jaime.
2011-05-22,Season 1,Episode 6,A Golden Crown,robert baratheon,"Quiet, woman."
2011-05-22,Season 1,Episode 6,A Golden Crown,eddard stark,Jaime has fled the city. Give me leave to bring him back to justice.
2011-05-22,Season 1,Episode 6,A Golden Crown,cersei lannister,I took you for a king.
2011-05-22,Season 1,Episode 6,A Golden Crown,robert baratheon,Hold your tongue.
2011-05-22,Season 1,Episode 6,A Golden Crown,cersei lannister,He's attacked my brother and abducted the other. I should wear the armor and you the gown.
2011-05-22,Season 1,Episode 6,A Golden Crown,cersei lannister,I shall wear this like a badge of honor.
2011-05-22,Season 1,Episode 6,A Golden Crown,robert baratheon,Wear it in silence or I'll honor you again.
2011-05-22,Season 1,Episode 6,A Golden Crown,robert baratheon,See what she does to me? My loving wife. I should not have hit her. That was not… That was not kingly.
2011-05-22,Season 1,Episode 6,A Golden Crown,eddard stark,If we don't act… there will be a war.
2011-05-22,Season 1,Episode 6,A Golden Crown,robert baratheon,"So tell your wife to return that little shit of an Imp to King's Landing. She's had her fun, now put an end to it. You hear me? Send a raven and put an end to it."
2011-05-22,Season 1,Episode 6,A Golden Crown,eddard stark,And what about Jaime Lannister? What about Jaime?
2011-05-22,Season 1,Episode 6,A Golden Crown,robert baratheon,"I'm half a kingdom in debt to his bloody father. I don't know what happened between you and those yellow-haired shits. I don't want to know. This is what matters - I can't rule the kingdoms if the Starks and the Lannisters are at each other's throats, so enough!"
2011-05-22,Season 1,Episode 6,A Golden Crown,eddard stark,"As you command your Grace. With your leave, I will return to Winterfell and set matters straight."
